	feature_id	feature_frequency	sample-id	run-number	community	composition
192	8c9e9b79c5d3c252180a3077a0abb8df	0.0	R46-16E18E-2	46	Mixed	16E18S
193	b8d600175878976e79ddf791ea1b8018	0.0	R46-16E18E-2	46	Mixed	16E18S
194	2415ed65247df7c95492dc05be898cb3	0.0	R46-16E18E-2	46	Mixed	16E18S
195	ef58ff1b1bdad9de60c39dc93ad227b4	0.0	R46-16E18E-2	46	Mixed	16E18S
196	6c03a8bf85f1e1f8f75268f28ca5775b	0.0	R46-16E18E-2	46	Mixed	16E18S
197	38000094f1b1749c4ccc4308dcc55cef	0.0	R46-16E18E-2	46	Mixed	16E18S
198	83723ab3251ca0b2964f89d4e3dc8c39	0.0	R46-16E18E-2	46	Mixed	16E18S
199	f28d9642b0ae99f466569a8f4cc5b426	0.0	R46-16E18E-2	46	Mixed	16E18S
200	7a1af4746ebcfef644470986977d3a91	0.0	R46-16E18E-2	46	Mixed	16E18S
201	4ca1b6dcd72d8a9f0b662d5de80fa7c1	0.0	R46-16E18E-2	46	Mixed	16E18S
202	d2c1d17df88ec2f458366e4c592bc7b7	0.0	R46-16E18E-2	46	Mixed	16E18S
203	d04edf402a23b050e1100c9dbe0cd44b	0.0	R46-16E18E-2	46	Mixed	16E18S
204	5ac35b1f9333caa9218cee8b5148cdc9	0.0	R46-16E18E-2	46	Mixed	16E18S
205	197127c9ec2478fe2f100008982d5d95	0.0	R46-16E18E-2	46	Mixed	16E18S
206	716aa942aa589e3d19c3eefe5b71d149	0.0	R46-16E18E-2	46	Mixed	16E18S
207	5668e7189cde1c7659e1de41de1e3a4c	0.0	R46-16E18E-2	46	Mixed	16E18S
208	a642ce7ecbbf3e60bf233f50c2d544e1	0.0	R46-16E18E-2	46	Mixed	16E18S
209	b3e89ce585f9f997b0269b8992d09563	0.0	R46-16E18E-2	46	Mixed	16E18S
210	d6cbe48436e95411fa22aae5997e7a82	0.0	R46-16E18E-2	46	Mixed	16E18S
211	918f389d42fb3920697dfee1986325ea	0.0	R46-16E18E-2	46	Mixed	16E18S
212	b9c307836e75f8b6205451b44eec657f	0.0	R46-16E18E-2	46	Mixed	16E18S
213	495ea9573848c3d2d400acedb8c94875	0.0	R46-16E18E-2	46	Mixed	16E18S
214	2b027b9a4c63d54e03ff8b120d46fcda	0.0	R46-16E18E-2	46	Mixed	16E18S
215	4c54751b3eb24544e8445438818157a2	0.0	R46-16E18E-2	46	Mixed	16E18S
216	a786ec13cfa2db07f7520a558939588c	0.0	R46-16E18E-2	46	Mixed	16E18S
217	4905b545bd06fc384ec3c04ca9c2c7a2	0.0	R46-16E18E-2	46	Mixed	16E18S
218	863728e1cec6befd5ba02d15baef4c36	210.0	R46-16E18E-2	46	Mixed	16E18S
219	20a0d2f150b3312772f5c00e54fd7baf	221.0	R46-16E18E-2	46	Mixed	16E18S
220	2970af3e30642198ba1dfa1f304f310b	46.0	R46-16E18E-2	46	Mixed	16E18S
